institution,year,HD2014.State abbreviation,
Alabama A & M University,2014,Alabama,
University of Alabama at Birmingham,2014,Alabama,
University of Alabama in Huntsville,2014,Alabama,
Alabama State University,2014,Alabama,
The University of Alabama,2014,Alabama,
Auburn University at Montgomery,2014,Alabama,
Auburn University,2014,Alabama,
Birmingham Southern College,2014,Alabama,
Concordia College Alabama,2014,Alabama,
South University-Montgomery,2014,Alabama,
Faulkner University,2014,Alabama,
Herzing University-Birmingham,2014,Alabama,
Huntingdon College,2014,Alabama,
Heritage Christian University,2014,Alabama,
Jacksonville State University,2014,Alabama,
Judson College,2014,Alabama,
University of West Alabama,2014,Alabama,
Miles College,2014,Alabama,
University of Mobile,2014,Alabama,
University of Montevallo,2014,Alabama,
University of North Alabama,2014,Alabama,
Oakwood University,2014,Alabama,
Samford University,2014,Alabama,
Selma University,2014,Alabama,
University of South Alabama,2014,Alabama,
Spring Hill College,2014,Alabama,
Southeastern Bible College,2014,Alabama,
Stillman College,2014,Alabama,
Talladega College,2014,Alabama,
Troy University,2014,Alabama,
Tuskegee University,2014,Alabama,
University of Alaska Anchorage,2014,Alaska,
Alaska Bible College,2014,Alaska,
University of Alaska Fairbanks,2014,Alaska,
University of Alaska Southeast,2014,Alaska,
Alaska Pacific University,2014,Alaska,
Charter College-Anchorage,2014,Alaska,
Everest College-Phoenix,2014,Arizona,
American Indian College of the Assemblies of God Inc,2014,Arizona,
College America-Flagstaff,2014,Arizona,
Brookline College-Phoenix,2014,Arizona,
Arizona State University-Tempe,2014,Arizona,
University of Arizona,2014,Arizona,
Southwest University of Visual Arts-Tucson,2014,Arizona,
Brown Mackie College-Tucson,2014,Arizona,
Embry-Riddle Aeronautical University-Prescott,2014,Arizona,
Grand Canyon University,2014,Arizona,
ITT Technical Institute-Tucson,2014,Arizona,
ITT Technical Institute-Tempe,2014,Arizona,
Dine College,2014,Arizona,
Northern Arizona University,2014,Arizona,
Ottawa University-Phoenix,2014,Arizona,
Pima Medical Institute-Tucson,2014,Arizona,
Prescott College,2014,Arizona,
Arizona Christian University,2014,Arizona,
Western International University,2014,Arizona,
University of Arkansas at Little Rock,2014,Arkansas,
Arkansas Baptist College,2014,Arkansas,
Lyon College,2014,Arkansas,
University of Arkansas,2014,Arkansas,
University of Arkansas at Pine Bluff,2014,Arkansas,
Arkansas State University-Main Campus,2014,Arkansas,
Arkansas Tech University,2014,Arkansas,
University of Arkansas at Monticello,2014,Arkansas,
University of Central Arkansas,2014,Arkansas,
Central Baptist College,2014,Arkansas,
Crowley's Ridge College,2014,Arkansas,
Harding University,2014,Arkansas,
Henderson State University,2014,Arkansas,
Hendrix College,2014,Arkansas,
John Brown University,2014,Arkansas,
Ouachita Baptist University,2014,Arkansas,
University of the Ozarks,2014,Arkansas,
Philander Smith College,2014,Arkansas,
Williams Baptist College,2014,Arkansas,
Southern Arkansas University Main Campus,2014,Arkansas,
University of Arkansas-Fort Smith,2014,Arkansas,
Academy of Art University,2014,California,
ITT Technical Institute-Rancho Cordova,2014,California,
Art Center College of Design,2014,California,
Azusa Pacific University,2014,California,
Bethesda University of California,2014,California,
Biola University,2014,California,
Brooks Institute,2014,California,
Bryan University,2014,California,
California Baptist University,2014,California,
California College of the Arts,2014,California,
California Institute of Technology,2014,California,
California Lutheran University,2014,California,
California Polytechnic State University-San Luis Obispo,2014,California,
Alliant International University,2014,California,
California State University-Bakersfield,2014,California,
California State University-Stanislaus,2014,California,
California State University-San Bernardino,2014,California,
California State Polytechnic University-Pomona,2014,California,
California State University-Chico,2014,California,
California State University-Dominguez Hills,2014,California,
California State University-Fresno,2014,California,
California State University-Fullerton,2014,California,
California State University-East Bay,2014,California,
California State University-Long Beach,2014,California,
California State University-Los Angeles,2014,California,
California State University-Northridge,2014,California,
California State University-Sacramento,2014,California,
University of California-Berkeley,2014,California,
University of California-Davis,2014,California,
University of California-Irvine,2014,California,
University of California-Los Angeles,2014,California,
University of California-Riverside,2014,California,
University of California-San Diego,2014,California,
University of California-Santa Barbara,2014,California,
University of California-Santa Cruz,2014,California,
California Christian College,2014,California,
California Institute of the Arts,2014,California,
California Maritime Academy,2014,California,
Chapman University,2014,California,
Charles R Drew University of Medicine and Science,2014,California,
Concordia University-Irvine,2014,California,
San Diego Christian College,2014,California,
Claremont McKenna College,2014,California,
Cogswell College,2014,California,
Coleman University,2014,California,
Columbia College-Hollywood,2014,California,
Dell'Arte International School of Physical Theatre,2014,California,
Design Institute of San Diego,2014,California,
Dominican University of California,2014,California,
Fashion Institute of Design & Merchandising-Los Angeles,2014,California,
Fashion Institute of Design & Merchandising-San Francisco,2014,California,
Fresno Pacific University,2014,California,
Golden Gate University-San Francisco,2014,California,
Harvey Mudd College,2014,California,
Holy Names University,2014,California,
Humboldt State University,2014,California,
Humphreys College-Stockton and Modesto Campuses,2014,California,
Interior Designers Institute,2014,California,
ITT Technical Institute-National City,2014,California,
ITT Technical Institute-San Dimas,2014,California,
ITT Technical Institute-Orange,2014,California,
American Jewish University,2014,California,
Life Pacific College,2014,California,
The Art Institute of California-Argosy University San Diego,2014,California,
University of La Verne,2014,California,
Laguna College of Art and Design,2014,California,
Lincoln University,2014,California,
Southern California Seminary,2014,California,
La Sierra University,2014,California,
The Master's College and Seminary,2014,California,
The Art Institute of California-Argosy University San Francisco,2014,California,
Loyola Marymount University,2014,California,
Marymount California University,2014,California,
Menlo College,2014,California,
Mills College,2014,California,
Mount St Mary's College,2014,California,
Musicians Institute,2014,California,
The National Hispanic University,2014,California,
National University,2014,California,
Newschool of Architecture and Design,2014,California,
Notre Dame de Namur University,2014,California,
Occidental College,2014,California,
Otis College of Art and Design,2014,California,
Hope International University,2014,California,
Pacific States University,2014,California,
Pacific Union College,2014,California,
University of the Pacific,2014,California,
Pepperdine University,2014,California,
Pitzer College,2014,California,
Platt College-San Diego,2014,California,
Point Loma Nazarene University,2014,California,
Pomona College,2014,California,
Westwood College-South Bay,2014,California,
University of Redlands,2014,California,
Argosy University-San Francisco Bay Area,2014,California,
San Diego State University,2014,California,
University of San Diego,2014,California,
San Francisco Art Institute,2014,California,
San Francisco Conservatory of Music,2014,California,
San Francisco State University,2014,California,
University of San Francisco,2014,California,
William Jessup University,2014,California,
San Jose State University,2014,California,
Santa Barbara Business College-Bakersfield,2014,California,
Westwood College-Los Angeles,2014,California,
Santa Barbara Business College-Santa Maria,2014,California,
Santa Clara University,2014,California,
Scripps College,2014,California,
Shasta Bible College and Graduate School,2014,California,
Simpson University,2014,California,
Saint Mary's College of California,2014,California,
Sonoma State University,2014,California,
Vanguard University of Southern California,2014,California,
Southern California Institute of Architecture,2014,California,
University of Southern California,2014,California,
Thomas Aquinas College,2014,California,
Epic Bible College,2014,California,
Westmont College,2014,California,
Whittier College,2014,California,
Woodbury University,2014,California,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2014,California,
Adams State University,2014,Colorado,
University of Colorado Denver,2014,Colorado,
University of Colorado Colorado Springs,2014,Colorado,
University of Colorado Boulder,2014,Colorado,
Colorado Christian University,2014,Colorado,
Colorado College,2014,Colorado,
The Art Institute of Colorado,2014,Colorado,
Colorado Mountain College,2014,Colorado,
Colorado School of Mines,2014,Colorado,
Colorado State University-Fort Collins,2014,Colorado,
Colorado Technical University-Colorado Springs,2014,Colorado,
College America-Denver,2014,Colorado,
Westwood College-Denver North,2014,Colorado,
University of Denver,2014,Colorado,
Fort Lewis College,2014,Colorado,
Colorado Mesa University,2014,Colorado,
Metropolitan State University of Denver,2014,Colorado,
Naropa University,2014,Colorado,
National American University-Colorado Springs,2014,Colorado,
National American University-Denver,2014,Colorado,
Nazarene Bible College,2014,Colorado,
University of Northern Colorado,2014,Colorado,
Regis University,2014,Colorado,
Rocky Mountain College of Art and Design,2014,Colorado,
Montessori Education Center of the Rockies,2014,Colorado,
Colorado State University-Pueblo,2014,Colorado,
Western State Colorado University,2014,Colorado,
Albertus Magnus College,2014,Connecticut,
Lincoln College of New England-Southington,2014,Connecticut,
University of Bridgeport,2014,Connecticut,
Central Connecticut State University,2014,Connecticut,
Connecticut College,2014,Connecticut,
University of Connecticut,2014,Connecticut,
Goodwin College,2014,Connecticut,
Eastern Connecticut State University,2014,Connecticut,
Fairfield University,2014,Connecticut,
University of Hartford,2014,Connecticut,
Holy Apostles College and Seminary,2014,Connecticut,
Lyme Academy College of Fine Arts,2014,Connecticut,
Mitchell College,2014,Connecticut,
University of New Haven,2014,Connecticut,
Paier College of Art Inc,2014,Connecticut,
Post University,2014,Connecticut,
Quinnipiac University,2014,Connecticut,
Sacred Heart University,2014,Connecticut,
University of Saint Joseph,2014,Connecticut,
St Vincent's College,2014,Connecticut,
Southern Connecticut State University,2014,Connecticut,
Trinity College,2014,Connecticut,
Wesleyan University,2014,Connecticut,
Western Connecticut State University,2014,Connecticut,
Yale University,2014,Connecticut,
Delaware State University,2014,Delaware,
University of Delaware,2014,Delaware,
Goldey-Beacom College,2014,Delaware,
Wesley College,2014,Delaware,
Wilmington University,2014,Delaware,
American University,2014,District of Columbia,
Catholic University of America,2014,District of Columbia,
University of the District of Columbia,2014,District of Columbia,
Gallaudet University,2014,District of Columbia,
George Washington University,2014,District of Columbia,
Georgetown University,2014,District of Columbia,
Howard University,2014,District of Columbia,
Strayer University-District of Columbia,2014,District of Columbia,
Trinity Washington University,2014,District of Columbia,
The Art Institute of Fort Lauderdale,2014,Florida,
